Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $315.32/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0x81671928be3b385345ae22ed943d6575cd08fa73c9c32af12095db88330beb41,28496036,1684947541,5/24/2023 16:59,0xb138a2966c92331885cccaaabc142d9a04391239,,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,0,0,0,0.27320662,86.14751142,305.91,,,0x60c06040
0x77de3343caf28ed4171bd458f17320beb4f84b196c2515b3b8eeae97b3039b53,28496066,1684947631,5/24/2023 17:00,0xb138a2966c92331885cccaaabc142d9a04391239,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00097898,0.308691974,305.91,,,Add Agent
0xc685a468f31380fa2c3221340b474c47dd3659b6887284f4928c86e5669cee77,28496070,1684947643,5/24/2023 17:00,0xb138a2966c92331885cccaaabc142d9a04391239,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00097722,0.30813701,305.91,,,Add AI
0x7d50e1cfd9f2929684adf334252a84f06d7a2953139aa9edf0292263c4c36714,28496073,1684947652,5/24/2023 17:00,0xb138a2966c92331885cccaaabc142d9a04391239,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00097848,0.308534314,305.91,,,Add Analyst
0xb949e038c8056018edc4903d792521b06af9fa1a0d8e9e8d35af8e78680906a3,28496075,1684947658,5/24/2023 17:00,0xb138a2966c92331885cccaaabc142d9a04391239,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00097808,0.308408186,305.91,,,Add Pair Partner
0xad7490a655c9cc581c562bdc2a7d6cfc8546432637f00a63795810386e638752,28496077,1684947664,5/24/2023 17:01,0xb138a2966c92331885cccaaabc142d9a04391239,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.0009772,0.308130704,305.91,,,Add Community
0x4c4cfc0e04c60f54e9af0f203e0fb5f5b5a2956a37049cf2266a797eef241995,28496082,1684947679,5/24/2023 17:01,0xb138a2966c92331885cccaaabc142d9a04391239,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00097898,0.308691974,305.91,,,Add Agent
0x756faef0d4c62a780b7c2ce9b601a45f62956c46542e4a8d36c568fbb4eea1cf,28496084,1684947685,5/24/2023 17:01,0xb138a2966c92331885cccaaabc142d9a04391239,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00097722,0.30813701,305.91,,,Add AI
0x0b76859a0b96131982a9a5d318e9f7b998f88f98fc19a6ff2722aafb29708188,28496086,1684947691,5/24/2023 17:01,0xb138a2966c92331885cccaaabc142d9a04391239,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00097848,0.308534314,305.91,,,Add Analyst
0x25372ad89232bea18955c0a93562feeb9bb3ad74fc5be26de5ca4a588752eea3,28496088,1684947697,5/24/2023 17:01,0xb138a2966c92331885cccaaabc142d9a04391239,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00097808,0.308408186,305.91,,,Add Pair Partner
0xf297bae9933a85fcc8d2cf0b9bde7bf89783bc4d8fcaad6eb0a2cfb83d8a1947,28496090,1684947703,5/24/2023 17:01,0xb138a2966c92331885cccaaabc142d9a04391239,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.0009772,0.308130704,305.91,,,Add Community
0xe2963f061ce48910eff670d95eabb6bd06c61b7a2aeffb5d369c60b053ca6ecd,28496094,1684947715,5/24/2023 17:01,0xb138a2966c92331885cccaaabc142d9a04391239,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00049674,0.156632057,305.91,,,Oxf2ac9700e6229feab58090073f9c99de56595a5da5f3f5487ef79cc748e9e020f23173e7b041fb4fd553fae50da747818224801e305e9c94792b2e045f48964f
0x0c9494e0da487576129b96f7d030263d026b377ac3dc51a6142769e443bc004b,28496095,1684947718,5/24/2023 17:01,0xb138a2966c92331885cccaaabc142d9a04391239,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00089012,0.280672638,305.91,,,Approve
